source_lang,target_lang,length,baseline,only_projective,alpha,beta,temperature,candidates,reps_per_tree,n_trees,n_samples,mean_gen_dl,mean_gen_ic,mean_gen_entropy,js_to_target
English,Japanese,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,19.25,2.46,1.8096470569425875,0.04261575403679912
English,English,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,19.31,2.46,1.7886773650148087,0.07165856107247517
English,Hindi,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,19.31,2.46,1.7886773650148087,0.09780787414927274
English,Japanese,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,19.31,2.46,1.7886773650148087,0.04306466353246711
English,English,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,19.35,2.46,1.7996635215576553,0.07651343400133877
English,Hindi,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,19.35,2.46,1.7996635215576553,0.10186104276796527
English,Japanese,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,19.35,2.46,1.7996635215576553,0.042641391361489596
Hindi,English,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.19,1.4,1.8539079951155155,0.06814894578665943
Hindi,Hindi,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.19,1.4,1.8539079951155155,0.15802308907449772
Hindi,Japanese,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.19,1.4,1.8539079951155155,0.049993526483804084
Hindi,English,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,16.99,1.4,1.8405317602611337,0.08552757903687269
Hindi,Hindi,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,16.99,1.4,1.8405317602611337,0.14780772907208634
Hindi,Japanese,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,16.99,1.4,1.8405317602611337,0.049394284037050123
Hindi,English,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.12,1.48,1.8671984709530394,0.07384036263349043
Hindi,Hindi,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.12,1.48,1.8671984709530394,0.16073907305909904
Hindi,Japanese,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.12,1.48,1.8671984709530394,0.04894268433029079
Hindi,English,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.37,1.53,1.8705942500015953,0.07517852252809047
Hindi,Hindi,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.37,1.53,1.8705942500015953,0.15182673346707565
Hindi,Japanese,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.37,1.53,1.8705942500015953,0.049369749417169186
Hindi,English,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,16.98,1.55,1.8564632278350068,0.0769270241749453
Hindi,Hindi,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,16.98,1.55,1.8564632278350068,0.15719542975862255
Hindi,Japanese,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,16.98,1.55,1.8564632278350068,0.05288738800470161
Hindi,English,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.08,1.74,1.8628799273689396,0.08079537236739126
Hindi,Hindi,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.08,1.74,1.8628799273689396,0.14360706524240013
Hindi,Japanese,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.08,1.74,1.8628799273689396,0.04664785117817063
Hindi,English,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.43,2.09,1.8344844458327978,0.08594204014750047
Hindi,Hindi,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.43,2.09,1.8344844458327978,0.13121131560146324
Hindi,Japanese,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.43,2.09,1.8344844458327978,0.041982990880208376
Hindi,English,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.23,2.08,1.8400472576678888,0.09305382803790067
Hindi,Hindi,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.23,2.08,1.8400472576678888,0.1333020752040649
Hindi,Japanese,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.23,2.08,1.8400472576678888,0.04511243945968444
Hindi,English,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.12,2.17,1.8317226567740947,0.08839538992793278
Hindi,Hindi,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.12,2.17,1.8317226567740947,0.1271016556406116
Hindi,Japanese,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.12,2.17,1.8317226567740947,0.031896004356445594
Hindi,English,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.18,2.29,1.8220456235894158,0.0934131652540499
Hindi,Hindi,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.18,2.29,1.8220456235894158,0.12412116326567817
Hindi,Japanese,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.18,2.29,1.8220456235894158,0.04230578864761405
Hindi,English,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.43,2.36,1.8369159173083134,0.09646354875181047
Hindi,Hindi,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.43,2.36,1.8369159173083134,0.12517641552909575
Hindi,Japanese,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.43,2.36,1.8369159173083134,0.039327843954681384
Hindi,English,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.58,2.71,1.8193471878682608,0.10480243266868756
Hindi,Hindi,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.58,2.71,1.8193471878682608,0.10628885223010265
Hindi,Japanese,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.58,2.71,1.8193471878682608,0.03632262527585214
Hindi,English,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.92,2.82,1.8012876779229545,0.10150345551555784
Hindi,Hindi,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.92,2.82,1.8012876779229545,0.10566840424956299
Hindi,Japanese,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.92,2.82,1.8012876779229545,0.03118642721548054
Hindi,English,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,18.1,2.87,1.7736094704675247,0.10583162258820167
Hindi,Hindi,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,18.1,2.87,1.7736094704675247,0.09950837308353254
Hindi,Japanese,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,18.1,2.87,1.7736094704675247,0.0359018009418795
Hindi,English,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,18.01,2.88,1.7909138012381949,0.10018885778784405
Hindi,Hindi,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,18.01,2.88,1.7909138012381949,0.09751147823614671
Hindi,Japanese,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,18.01,2.88,1.7909138012381949,0.0263855133101398
Hindi,English,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,18.01,2.88,1.7890526919558685,0.10247309554640478
Hindi,Hindi,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,18.01,2.88,1.7890526919558685,0.09993092362042157
Hindi,Japanese,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,18.01,2.88,1.7890526919558685,0.03888287268903062
Hindi,English,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,18.36,2.88,1.8072848973259923,0.10025042082278866
Hindi,Hindi,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,18.36,2.88,1.8072848973259923,0.100928142786113
Hindi,Japanese,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,18.36,2.88,1.8072848973259923,0.03415639622455174
Japanese,English,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.5,0.61,1.7951107902861623,0.08467373514455306
Japanese,Hindi,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.5,0.61,1.7951107902861623,0.1682956911511251
Japanese,Japanese,12,projective_like,False,1.0,0.0,1.0,800,2,50,100,17.5,0.61,1.7951107902861623,0.05332869663116017
Japanese,English,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,17.51,0.57,1.808393053351111,0.07262078715656206
Japanese,Hindi,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,17.51,0.57,1.808393053351111,0.15274587200809983
Japanese,Japanese,12,projective_like,False,1.0,0.05,1.0,800,2,50,100,17.51,0.57,1.808393053351111,0.039897122391838784
Japanese,English,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.26,0.55,1.7863737847919443,0.08592470407073687
Japanese,Hindi,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.26,0.55,1.7863737847919443,0.16586416655462058
Japanese,Japanese,12,projective_like,False,1.0,0.1,1.0,800,2,50,100,17.26,0.55,1.7863737847919443,0.049096852564149855
Japanese,English,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.51,0.66,1.7838099932749027,0.08041653737842357
Japanese,Hindi,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.51,0.66,1.7838099932749027,0.14702768320000545
Japanese,Japanese,12,projective_like,False,1.0,0.2,1.0,800,2,50,100,17.51,0.66,1.7838099932749027,0.03911734474369009
Japanese,English,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,17.25,0.77,1.7932481595664065,0.07857535672483572
Japanese,Hindi,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,17.25,0.77,1.7932481595664065,0.16425870131235998
Japanese,Japanese,12,projective_like,False,1.0,0.35,1.0,800,2,50,100,17.25,0.77,1.7932481595664065,0.045820092096179564
Japanese,English,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.47,0.79,1.7923804836234478,0.08098147902014956
Japanese,Hindi,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.47,0.79,1.7923804836234478,0.15715253329688278
Japanese,Japanese,12,projective_like,False,1.0,0.5,1.0,800,2,50,100,17.47,0.79,1.7923804836234478,0.044409458165431286
Japanese,English,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.65,0.81,1.7832609093306202,0.08835424702704771
Japanese,Hindi,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.65,0.81,1.7832609093306202,0.13993887969412142
Japanese,Japanese,12,projective_like,False,1.0,0.75,1.0,800,2,50,100,17.65,0.81,1.7832609093306202,0.03343471263973293
Japanese,English,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.44,0.83,1.7972260167722194,0.07137914351656685
Japanese,Hindi,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.44,0.83,1.7972260167722194,0.15654406203203738
Japanese,Japanese,12,projective_like,False,1.0,1.0,1.0,800,2,50,100,17.44,0.83,1.7972260167722194,0.039504737589845955
Japanese,English,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.54,0.89,1.7997663695410617,0.07914597865538159
Japanese,Hindi,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.54,0.89,1.7997663695410617,0.152113804555739
Japanese,Japanese,12,projective_like,False,1.0,1.25,1.0,800,2,50,100,17.54,0.89,1.7997663695410617,0.036639653670745856
Japanese,English,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.53,0.89,1.7926475091964444,0.08318154757084097
Japanese,Hindi,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.53,0.89,1.7926475091964444,0.1598335341131913
Japanese,Japanese,12,projective_like,False,1.0,1.5,1.0,800,2,50,100,17.53,0.89,1.7926475091964444,0.04556090443983698
Japanese,English,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.29,0.99,1.7914938305737909,0.07044786741400176
Japanese,Hindi,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.29,0.99,1.7914938305737909,0.15657387163023626
Japanese,Japanese,12,projective_like,False,1.0,2.0,1.0,800,2,50,100,17.29,0.99,1.7914938305737909,0.04294678943542966
Japanese,English,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.44,1.09,1.7852747532708795,0.06516960136175848
Japanese,Hindi,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.44,1.09,1.7852747532708795,0.14745062198643755
Japanese,Japanese,12,projective_like,False,1.0,4.0,1.0,800,2,50,100,17.44,1.09,1.7852747532708795,0.03242947642727273
Japanese,English,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.31,1.12,1.7906759541707944,0.0680883165658424
Japanese,Hindi,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.31,1.12,1.7906759541707944,0.1564112028768078
Japanese,Japanese,12,projective_like,False,1.0,6.0,1.0,800,2,50,100,17.31,1.12,1.7906759541707944,0.03873848470160245
Japanese,English,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,17.75,1.12,1.7925541837483567,0.07616850283328856
Japanese,Hindi,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,17.75,1.12,1.7925541837483567,0.1550114248350329
Japanese,Japanese,12,projective_like,False,1.0,8.0,1.0,800,2,50,100,17.75,1.12,1.7925541837483567,0.041438419071915006
Japanese,English,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,17.56,1.12,1.7943345861706288,0.0765084889304936
Japanese,Hindi,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,17.56,1.12,1.7943345861706288,0.1592553082706333
Japanese,Japanese,12,projective_like,False,1.0,10.0,1.0,800,2,50,100,17.56,1.12,1.7943345861706288,0.04192948199913025
Japanese,English,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,17.72,1.12,1.7982057609846411,0.07820714450630013
Japanese,Hindi,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,17.72,1.12,1.7982057609846411,0.15784693807589448
Japanese,Japanese,12,projective_like,False,1.0,12.0,1.0,800,2,50,100,17.72,1.12,1.7982057609846411,0.04577928316733798
Japanese,English,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,17.77,1.12,1.8010738998936826,0.07613429971609266
Japanese,Hindi,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,17.77,1.12,1.8010738998936826,0.14986329055154446
Japanese,Japanese,12,projective_like,False,1.0,16.0,1.0,800,2,50,100,17.77,1.12,1.8010738998936826,0.03448516448791793
